Cluster,Feature,Log_Odds_Ratio
9, endoSS,-2.94
1, PK,2.83
2, PK,3.5
3, PK,1.61
4, PK,3.14
5, PK,2.94
6, PK,3.43
7, PK,3.56
8, PK,2.2
9, PK,2.94
1, KAR,2.83
2, KAR,3.5
3, KAR,1.61
4, KAR,3.14
5, KAR,2.94
6, KAR,3.43
7, KAR,3.56
8, KAR,2.2
9, KAR,2.94
1, IMPDH_2,2.83
2, IMPDH_2,3.5
3, IMPDH_2,1.61
4, IMPDH_2,3.14
5, IMPDH_2,2.94
6, IMPDH_2,3.43
7, IMPDH_2,3.56
8, IMPDH_2,2.2
9, IMPDH_2,2.94
1, GlnA,2.83
2, GlnA,3.5
3, GlnA,1.61
4, GlnA,3.14
5, GlnA,2.94
6, GlnA,3.43
7, GlnA,3.56
8, GlnA,2.2
9, GlnA,2.94
1, HtpsA,2.83
2, HtpsA,3.5
3, HtpsA,1.61
4, HtpsA,3.14
5, HtpsA,2.94
6, HtpsA,3.43
7, HtpsA,3.56
8, HtpsA,2.2
9, HtpsA,2.94
1, LuxS,2.83
2, LuxS,3.5
3, LuxS,1.61
4, LuxS,3.14
5, LuxS,2.94
6, LuxS,3.43
7, LuxS,3.56
8, LuxS,2.2
9, LuxS,2.94
1, Ssads,0.45
2, Ssads,-3.5
3, Ssads,-1.61
4, Ssads,-3.14
5, Ssads,-2.94
6, Ssads,0.13
7, Ssads,0.34
8, Ssads,-2.2
9, Ssads,-2.94
1, RelQ,2.83
2, RelQ,3.5
3, RelQ,1.61
4, RelQ,3.14
5, RelQ,2.94
6, RelQ,3.43
7, RelQ,3.56
8, RelQ,2.2
9, RelQ,2.94
1, srtA,2.83
2, srtA,3.5
3, srtA,1.61
4, srtA,3.14
5, srtA,2.94
6, srtA,3.43
7, srtA,2.4
8, srtA,2.2
9, srtA,2.94
1, HP1083,2.83
2, HP1083,3.5
3, HP1083,1.61
4, HP1083,3.14
5, HP1083,2.94
6, HP1083,3.43
7, HP1083,3.56
8, HP1083,2.2
9, HP1083,2.94
1, ciaR,2.83
2, ciaR,3.5
3, ciaR,1.61
4, ciaR,3.14
5, ciaR,2.94
6, ciaR,3.43
7, ciaR,3.56
8, ciaR,2.2
9, ciaR,2.94
1, mnmE,2.83
2, mnmE,3.5
3, mnmE,1.61
4, mnmE,3.14
5, mnmE,2.94
6, mnmE,3.43
7, mnmE,3.56
8, mnmE,2.2
9, mnmE,2.94
1, HP1538,2.83
2, HP1538,3.5
3, HP1538,1.61
4, HP1538,3.14
5, HP1538,2.94
6, HP1538,3.43
7, HP1538,2.4
8, HP1538,2.2
9, HP1538,2.94
1, CovR,2.83
2, CovR,3.5
3, CovR,1.61
4, CovR,3.14
5, CovR,2.94
6, CovR,3.43
7, CovR,3.56
8, CovR,2.2
9, CovR,2.94
1, lytR,2.83
2, lytR,3.5
3, lytR,1.61
4, lytR,3.14
5, lytR,2.94
6, lytR,3.43
7, lytR,3.56
8, lytR,2.2
9, lytR,2.94
1, RelA,2.83
2, RelA,3.5
3, RelA,1.61
4, RelA,3.14
5, RelA,2.94
6, RelA,3.43
7, RelA,3.56
8, RelA,2.2
9, RelA,2.94
1, GidA,2.83
2, GidA,3.5
3, GidA,1.61
4, GidA,3.14
5, GidA,2.94
6, GidA,3.43
7, GidA,3.56
8, GidA,2.2
9, GidA,2.94
1, GdpP,2.83
2, GdpP,3.5
3, GdpP,1.61
4, GdpP,3.14
5, GdpP,2.94
6, GdpP,3.43
