Feature,ClusterA,ClusterB,Chi2,P_Value,Adjusted_P,FDR_Rejected
 Cps2F,3,7,,1.0,1.0,False
 Cps2F,3,8,,1.0,1.0,False
 Cps2F,4,5,,1.0,1.0,False
 Cps2F,4,6,,0.0,0.0,True
 Cps2F,4,7,,1.0,1.0,False
 Cps2F,4,8,,1.0,1.0,False
 Cps2F,5,6,,0.0,0.0,True
 Cps2F,5,7,,1.0,1.0,False
 Cps2F,5,8,,1.0,1.0,False
 Cps2F,6,7,,0.0,0.0,True
 Cps2F,6,8,,0.0,0.0,True
 Cps2F,7,8,,1.0,1.0,False
 Cps9E,1,2,,1.0,1.0,False
 Cps9E,1,3,,0.0,0.0,True
 Cps9E,1,4,,0.13,1.0,False
 Cps9E,1,5,,0.27,1.0,False
 Cps9E,1,6,,0.0,0.0,True
 Cps9E,1,7,,1.0,1.0,False
 Cps9E,1,8,,1.0,1.0,False
 Cps9E,2,3,,0.0,0.0,True
 Cps9E,2,4,,0.26,1.0,False
 Cps9E,2,5,,0.29,1.0,False
 Cps9E,2,6,,0.0,0.0,True
 Cps9E,2,7,,1.0,1.0,False
 Cps9E,2,8,,1.0,1.0,False
 Cps9E,3,4,,0.0,0.0,True
 Cps9E,3,5,,0.01,0.10714801444043322,False
 Cps9E,3,6,,1.0,1.0,False
 Cps9E,3,7,,0.0,0.0,True
 Cps9E,3,8,,0.0,0.0,True
 Cps9E,4,5,,1.0,1.0,False
 Cps9E,4,6,,0.0,0.0,True
 Cps9E,4,7,,0.28,1.0,False
 Cps9E,4,8,,0.34,1.0,False
 Cps9E,5,6,,0.0,0.0,True
 Cps9E,5,7,,0.36,1.0,False
 Cps9E,5,8,,0.37,1.0,False
 Cps9E,6,7,,0.0,0.0,True
 Cps9E,6,8,,0.0,0.0,True
 Cps9E,7,8,,1.0,1.0,False
 manN,1,2,,1.0,1.0,False
 manN,1,3,,1.0,1.0,False
 manN,1,4,,1.0,1.0,False
 manN,1,5,,1.0,1.0,False
 manN,1,6,,1.0,1.0,False
 manN,1,7,,1.0,1.0,False
 manN,1,8,,1.0,1.0,False
 manN,2,3,,1.0,1.0,False
 manN,2,4,,1.0,1.0,False
 manN,2,5,,1.0,1.0,False
 manN,2,6,,1.0,1.0,False
 manN,2,7,,1.0,1.0,False
 manN,2,8,,1.0,1.0,False
 manN,3,4,,1.0,1.0,False
 manN,3,5,,1.0,1.0,False
 manN,3,6,,1.0,1.0,False
 manN,3,7,,1.0,1.0,False
 manN,3,8,,1.0,1.0,False
