antecedent,consequent,support,confidence,Cluster
 CovR, GrpE,1.0,1.0,1
 GrpE, lhr,1.0,1.0,1
 lhr, GrpE,1.0,1.0,1
 GrpE, abpb,1.0,1.0,1
 abpb, GrpE,1.0,1.0,1
 GrpE, HtpsA,1.0,1.0,1
 HtpsA, GrpE,1.0,1.0,1
 GrpE, PepF,1.0,1.0,1
 PepF, GrpE,1.0,1.0,1
 GrpE, OTC,1.0,1.0,1
 OTC, GrpE,1.0,1.0,1
 GrpE, ciaH,1.0,1.0,1
 ciaH, GrpE,1.0,1.0,1
 GrpE, SspA,1.0,1.0,1
 SspA, GrpE,1.0,1.0,1
 GrpE, SsPep,1.0,1.0,1
 SsPep, GrpE,1.0,1.0,1
 GrpE, ClpX,1.0,1.0,1
 ClpX, GrpE,1.0,1.0,1
 GrpE, GidA,1.0,1.0,1
 GidA, GrpE,1.0,1.0,1
 GrpE, adhE,1.0,1.0,1
 adhE, GrpE,1.0,1.0,1
 GrpE, GntR,1.0,1.0,1
 GntR, GrpE,1.0,1.0,1
 GrpE, Cps2B,1.0,1.0,1
 Cps2B, GrpE,1.0,1.0,1
 GrpE, RelQ,1.0,1.0,1
 RelQ, GrpE,1.0,1.0,1
 GrpE, BgaC,1.0,1.0,1
 BgaC, GrpE,1.0,1.0,1
 Hhly3, GrpE,0.45,1.0,1
 GrpE, yzpA,1.0,1.0,1
 yzpA, GrpE,1.0,1.0,1
 GrpE, agaR2,1.0,1.0,1
 agaR2, GrpE,1.0,1.0,1
 GrpE, HP1717,1.0,1.0,1
 HP1717, GrpE,1.0,1.0,1
 GrpE, PDH,1.0,1.0,1
 PDH, GrpE,1.0,1.0,1
 GrpE, Rex,1.0,1.0,1
 Rex, GrpE,1.0,1.0,1
 GrpE, SntA,1.0,1.0,1
 SntA, GrpE,1.0,1.0,1
 GrpE, ABC_1,1.0,1.0,1
 ABC_1, GrpE,1.0,1.0,1
 GrpE, GlnA,1.0,1.0,1
 GlnA, GrpE,1.0,1.0,1
 GrpE, LDH,1.0,1.0,1
 LDH, GrpE,1.0,1.0,1
 GrpE, ClpP,1.0,1.0,1
